item_id,element_name,en,es,de,fr,nl
parent_survey_child_001,CaregiverSurveyIntroA,"<block><b><font face=""Verdana"" size=""4"">
Thank you to you and your child for participating in this research project!</b><br> <br> <p><font face=""Verdana"" size=""4"">The following survey will take approximately 20-30 minutes to complete and will ask questions about your child. <br><br>When answering the questions, please think about your child who is participating in this research project. If you have more than one child participating in the research project, you will complete this survey separately for each participating child. <br><br>Some questions will note a specific timeframe to consider when answering. If no timeframe is indicated, you can think about how the answer applies to your child in general. <br><br>We appreciate you answering as completely and accurately as possible with the information you have available to you. If you have questions about this survey, please reach out to the research coordinator. <br><br>When you are ready to begin, select the “start survey” button. <br><br><b><font face=""Verdana"" size=""4"">Thank you!","<block><b><font face=""Verdana"" size=""4"">¡Gracias a usted y a su niño(a) por participar en este proyecto de investigación!</b><br> <br> <p><font face=""Verdana"" size=""4"">Estimamos que diligenciar la siguiente encuesta le tomará aproximadamente 40 minutos. En la encuesta se le harán preguntas sobre su niño(a).<br><br>Si tiene más de un niño(a) y solo uno participa en el proyecto de investigación, responda a las preguntas pensando únicamente en ese niño(a). Si tiene más de un(a) niño(a) y más de uno(a) participa en el proyecto de investigación, debe diligenciar esta encuesta por separado para cada niño(a) participante. <br><br>En algunas preguntas se indica un marco temporal específico que debe tenerse en cuenta al responder. Si no se indica ningún marco temporal, puede pensar en cómo se aplica la respuesta a usted o a su niño(a) en general.<br><br> Le agradecemos que responda la encuesta de la forma más precisa posible con la información de que dispone. Si tiene alguna duda, comuníquesela a quien apoya esta aplicación.<br><br>Cuando esté listo(a) para empezar, seleccione el botón ""Comenzar Encuesta"".<br><br><b><font face=""Verdana"" size=""4"">¡Muchas gracias!","<block><b><font face=""Verdana"" size=""4"">Wir danken Ihnen und Ihrem Kind für die Teilnahme an diesem Forschungsprojekt! </b><br> <br> <p><font face=""Verdana"" size=""4"">Die folgende Umfrage dauert etwa 20-30 Minuten und enthält Fragen zu Ihrem Kind.<br><br>Bitte denken Sie bei der Beantwortung der Fragen an Ihr Kind, das an diesem Forschungsprojekt teilnimmt. Wenn Sie mehr als ein Kind haben, das an dem Forschungsprojekt teilnimmt, füllen Sie diesen Fragebogen für jedes teilnehmende Kind separat aus.<br><br>Bei einigen Fragen ist ein bestimmter Zeitrahmen angegeben, auf den Sie sich bei der Beantwortung der Frage beziehen sollen. Wenn kein Zeitrahmen angegeben ist, können Sie die Frage so beantworten, wie es am besten auf Sie oder Ihr Kind im Allgemeinen zutrifft.<br><br>Wir bitten Sie, die Fragen so vollständig und genau wie möglich zu beantworten. Wenn Sie Fragen zu dieser Umfrage haben, wenden Sie sich bitte an die Forschungskoordinatorin (luise_hornoff@eva.mpg.de).<br><br>Wenn Sie bereit sind zu beginnen, klicken Sie auf ""Umfrage starten"".<br><br><b><font face=""Verdana"" size=""4"">Vielen Dank!",,
parent_survey_child_002,CaregiverSectionIntro1,This section asks general information questions and questions about your child's health.,"Por favor, indique su relación con el niño que participa en el proyecto.","Bitte geben Sie an, in welcher Beziehung Sie zu dem Kind stehen, das hier teilnimmt.",,
parent_survey_child_003,CaregiverSectionIntro1,"<block><b><font face=""Verdana"" size=""4"">This section asks general information questions and questions about your child's health.","<block><b><font face=""Verdana"" size=""4"">En esta sección se indaga por información general y por la salud de su niño(a).",In diesem Abschnitt werden allgemeine Informationsfragen und Fragen zur Gesundheit Ihres Kindes gestellt.,,
parent_survey_child_004,RespondentRelationship,Please indicate your relationship to the child participating in this research project.,"Por favor, indique su relación con el niño que participa en el proyecto.","Bitte geben Sie an, in welcher Beziehung Sie zu dem Kind stehen, das hier teilnimmt.",,
parent_survey_child_005,RespondentRelationship,Biological or Adoptive Mother,Madre biológica o adoptiva,Biologische Mutter oder Adoptivmutter,,
parent_survey_child_006,RespondentRelationship,Biological or Adoptive Father,Padre biológico o adoptivo,Biologischer Vater oder Adoptivvater,,
parent_survey_child_007,RespondentRelationship,Step-mother,Madrastra,Stiefmutter,,
parent_survey_child_008,RespondentRelationship,Step-father,Padrastro,Stiefvater,,
parent_survey_child_009,RespondentRelationship,,Abuela,Großmutter,,
parent_survey_child_010,RespondentRelationship,,Abuelo,Großvater,,
