identifier,translation
ChildSurveyIntro,"<font face=Verdana size=4>These questions ask you about how you feel at school and some of the things you do at school. There are no right or wrong answers. Choose the answer that best describes what you think. <b><font face=Verdana size=4>No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time.<br><br>The first two are for practice."
Example1Comic,Do you like to read comic books?
Example1Comic,"No, never"
Example1Comic,"Yes, some of the time"
Example1Comic,"Yes, most of the time"
Example1Comic,"Yes, always"
Example2Neat,Are you neat and tidy at school?
Example2Neat,"No, never"
Example2Neat,"Yes, some of the time"
Example2Neat,"Yes, most of the time"
Example2Neat,"Yes, always"
TeacherNice,Is your teacher nice to you?
TeacherNice,"No, never"
TeacherNice,"Yes, some of the time"
TeacherNice,"Yes, most of the time"
TeacherNice,"Yes, always"
TeacherLike,Does your teacher like you?
TeacherLike,"No, never"
TeacherLike,"Yes, some of the time"
TeacherLike,"Yes, most of the time"
TeacherLike,"Yes, always"
TeacherListen,Does your teacher listen to you?
TeacherListen,"No, never"
TeacherListen,"Yes, some of the time"
TeacherListen,"Yes, most of the time"
TeacherListen,"Yes, always"
SchoolFun,Is school fun?
SchoolFun,"No, never"
SchoolFun,"Yes, some of the time"
SchoolFun,"Yes, most of the time"
SchoolFun,"Yes, always"
SchoolEnjoy,Do you enjoy school?
SchoolEnjoy,"No, never"
SchoolEnjoy,"Yes, some of the time"
SchoolEnjoy,"Yes, most of the time"
SchoolEnjoy,"Yes, always"
SchoolHappy,Are you happy at school?
SchoolHappy,"No, never"
SchoolHappy,"Yes, some of the time"
SchoolHappy,"Yes, most of the time"
SchoolHappy,"Yes, always"
SchoolSafe,Do you feel safe at school?
SchoolSafe,"No, never"
SchoolSafe,"Yes, some of the time"
SchoolSafe,"Yes, most of the time"
SchoolSafe,"Yes, always"
ClassFriends,Do you have friends in your class?
ClassFriends,"No, never"
ClassFriends,"Yes, some of the time"
ClassFriends,"Yes, most of the time"
ClassFriends,"Yes, always"
ClassHelp,Do the kids in your class help you when you need it?
ClassHelp,"No, never"
ClassHelp,"Yes, some of the time"
ClassHelp,"Yes, most of the time"
ClassHelp,"Yes, always"
ClassPlay,Do the kids in your class play with you?
ClassPlay,"No, never"
ClassPlay,"Yes, some of the time"
ClassPlay,"Yes, most of the time"
ClassPlay,"Yes, always"
ClassNice,Are the kids in your class nice to you?
ClassNice,"No, never"
ClassNice,"Yes, some of the time"
ClassNice,"Yes, most of the time"
ClassNice,"Yes, always"
LonelySchool,Do you feel lonely at school?
LonelySchool,"No, never"
LonelySchool,"Yes, some of the time"
LonelySchool,"Yes, most of the time"
LonelySchool,"Yes, always"
LearningGood,Are you good at learning things in school?
LearningGood,"No, never"
LearningGood,"Yes, some of the time"
LearningGood,"Yes, most of the time"
LearningGood,"Yes, always"
SchoolGiveUp,"When schoolwork is hard, do you give up right away?"
SchoolGiveUp,"No, never"
SchoolGiveUp,"Yes, some of the time"
SchoolGiveUp,"Yes, most of the time"
SchoolGiveUp,"Yes, always"
ReadingEnjoy,Do you enjoy doing reading activities at school?
ReadingEnjoy,"No, never"
ReadingEnjoy,"Yes, some of the time"
ReadingEnjoy,"Yes, most of the time"
ReadingEnjoy,"Yes, always"
MathEnjoy,Do you enjoy doing math activities at school?
MathEnjoy,"No, never"
MathEnjoy,"Yes, some of the time"
MathEnjoy,"Yes, most of the time"
MathEnjoy,"Yes, always"
ReadingGood,Are you good at reading?
ReadingGood,"No, never"
ReadingGood,"Yes, some of the time"
ReadingGood,"Yes, most of the time"
ReadingGood,"Yes, always"
MathGood,Are you good at math?
MathGood,"No, never"
MathGood,"Yes, some of the time"
MathGood,"Yes, most of the time"
MathGood,"Yes, always"
GrowthMindSmart,Some kids think they can get smarter if they work really hard. Do you think that you can get smarter if you work really hard?
GrowthMindSmart,"No, never"
GrowthMindSmart,"Yes, some of the time"
GrowthMindSmart,"Yes, most of the time"
GrowthMindSmart,"Yes, always"
GrowthMindRead,Some kids think they can get better at reading if they work really hard. Do you think that you can get better at reading if you work really hard?
GrowthMindRead,"No, never"
GrowthMindRead,"Yes, some of the time"
GrowthMindRead,"Yes, most of the time"
GrowthMindRead,"Yes, always"
GrowthMindMath,Some kids think they can get better at math if they work really hard. Do you think that you can get better at math if you work really hard?
GrowthMindMath,"No, never"
GrowthMindMath,"Yes, some of the time"
GrowthMindMath,"Yes, most of the time"
GrowthMindMath,"Yes, always"
unknown,Start Survey
unknown,Previous
unknown,Next
unknown,Finish
