identifier,translation
CaregiverSurveyIntroB,<block><b><font face=Verdana size=4>
HomeNeighborhood,Please answer the following questions about the community in which you live.
HomeNSCHi7a,"In your neighborhood, are there sidewalks or walking paths?"
HomeNSCHi7a,Yes
HomeNSCHi7a,No
HomeNSCHi7b,"In your neighborhood, is there a park or playground?"
HomeNSCHi7b,Yes
HomeNSCHi7b,No
HomeNSCHi7c,"In your neighborhood, is there a community center or recreation center where families get together?"
HomeNSCHi7c,Yes
HomeNSCHi7c,No
HomeNSCHi7d,"In your neighborhood, is there a library or other place to get free books?"
HomeNSCHi7d,Yes
HomeNSCHi7d,No
HomeNSCHi7e,"In your neighborhood, is there litter or garbage on the street or sidewalk?"
HomeNSCHi7e,Yes
HomeNSCHi7e,No
HomeNSCHi7f,In your neighborhood is there poorly kept or rundown housing?
HomeNSCHi7f,Yes
HomeNSCHi7f,No
HomeNSCHi7g,"In your neighborhood, is there vandalism such as broken windows or graffiti?"
HomeNSCHi7g,Yes
HomeNSCHi7g,No
HomeNSCHi8items,To what extent do you agree with these statements about your neighborhood or community?
HomeNSCHi8items,Definitely Agree
HomeNSCHi8items,Somewhat Agree
HomeNSCHi8items,Somewhat Disagree
HomeNSCHi8items,Definitely Disagree
HomeNSCHi8items,People in your neighborhood help each other out.
HomeNSCHi8items,People in your neighborhood watch out for each other's children.
HomeNSCHi8items,Your child is safe in your neighborhood.
HomeNSCHi8items,"When you encounter difficulties, you know where to go for help in your community."
HomeNSCHi8items,Your child is safe at school.
HomeFood,"These are statements people have made about their food situation. For these statements, please mark whether the statement was often true, sometimes true, or never true for your household in the <b>last 12 months</b>."
HomeFoodLast,"The food that we bought just didn't last, and we didn't have enough money to get more."
HomeFoodLast,Never true
HomeFoodLast,Sometimes true
HomeFoodLast,Often true
HomeFoodBalanced,We couldn't afford to eat balanced meals.
HomeFoodBalanced,Never true
HomeFoodBalanced,Sometimes true
HomeFoodBalanced,Often true
HomeFoodSkipMeal,"In the <b>last 12 months</b>, did you or other adults in your household ever cut the size of your meals or skip meals because there wasn't enough money for food?"
HomeFoodSkipMeal,Yes
HomeFoodSkipMeal,No
HomeFoodSkipMealAmount,"If yes, how often did this happen - almost every month, some months but not every month, or in only 1 or 2 months?"
HomeFoodSkipMealAmount,Almost every month
HomeFoodSkipMealAmount,Some months but not every month
HomeFoodSkipMealAmount,Only 1 or 2 months
HomeCHAOS,Below are statements about the environment in your home. Please indicate how much you agree that the statement is true of your home.
HomeCHAOS4,We are usually able to stay on top of things.
HomeCHAOS4,Definitely Untrue
HomeCHAOS4,Somewhat Untrue
HomeCHAOS4,Somewhat True
HomeCHAOS4,Definitely True
HomeCHAOS10,You can't hear yourself think in our home.
HomeCHAOS10,Definitely Untrue
HomeCHAOS10,Somewhat Untrue
HomeCHAOS10,Somewhat True
HomeCHAOS10,Definitely True
HomeCHAOS14,The atmosphere in our home is calm.
HomeCHAOS14,Definitely Untrue
HomeCHAOS14,Somewhat Untrue
HomeCHAOS14,Somewhat True
HomeCHAOS14,Definitely True
HomeCHAOS15,We have a regular morning routine at home.
HomeCHAOS15,Definitely Untrue
HomeCHAOS15,Somewhat Untrue
HomeCHAOS15,Somewhat True
HomeCHAOS15,Definitely True
SelfParentStressNSCHh8,How well do you think you are handling the day-to-day demands of raising children?
SelfParentStressNSCHh8,Very well
SelfParentStressNSCHh8,Somewhat well
SelfParentStressNSCHh8,Not very well
SelfParentStressNSCHh8,Not well at all
SelfAnxDep,"Over the <b>last two weeks</b>, how often have you been bothered by the following problems?"
SelfAnxDep,Not at all
SelfAnxDep,Several days
SelfAnxDep,More than half of the days
SelfAnxDep,Nearly every day
SelfAnxDep,"Feeling nervous, anxious, or on edge"
SelfAnxDep,Not being able to stop or control worrying
SelfAnxDep,"Feeling down, depressed, or hopeless"
SelfAnxDep,Little interest or pleasure in doing things
SelfSupport,We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.
SelfSupport,Very Strongly Disagree
SelfSupport,Strongly Disagree
SelfSupport,Mildly Disagree
SelfSupport,Mildly Agree
SelfSupport,Strongly Agree
SelfSupport,Very Strongly Agree
SelfSupport,"There is a special person (ex: spouse, partner, etc.) who is around when I am in need."
SelfSupport,"There is a special person (ex: spouse, partner, etc.) with whom I can share joys and sorrows."
SelfSupport,My family really tries to help me.
SelfSupport,I get the emotional help & support I need from my family.
SelfSupport,"I have a special person (ex: spouse, partner, etc.) who is a real source of comfort to me."
SelfSupport,My friends really try to help me.
SelfSupport,I can count on my friends when things go wrong.
SelfSupport,I can talk about my problems with my family.
SelfSupport,I have friends with whom I can share my joys and sorrows.
SelfSupport,"There is a special person (ex: spouse, partner, etc.) in my life who cares about my feelings."
SelfSupport,My family is willing to help me make decisions.
SelfSupport,I can talk about my problems with my friends.
SelfDiscrim,In your day-to-day life how often have any of the following things happened to you?
SelfDiscrim,Never
SelfDiscrim,Less than once a year
SelfDiscrim,A few times a year
SelfDiscrim,A few times a month
SelfDiscrim,At least once a week
SelfDiscrim,Almost everyday
SelfDiscrim,You are treated with less courtesy or respect than other people.
SelfDiscrim,You receive poorer service than other people at restaurants or stores.
SelfDiscrim,People act as if they think you are not smart.
SelfDiscrim,People act as if they are afraid of you.
SelfDiscrim,You are threatened or harassed.
SelfLifeChanges,Please select Yes or No to indicate whether each event has happened to you <b>in the past year</b>.
SelfLifeChangesHealth,Health:
