identifier,translation
TeacherSurveyIntro,"<b><font face=Verdana size=4>Thank you for taking the time (~10 minutes) to respond to this survey!</b><br> <br> <p><font face=Verdana size=4>Some students who you teach are participating in a research project studying how children learn and develop. Your responses in this survey should apply to your classroom, school, and professional beliefs rather than to any one specific child. <br><br><b><font face=Verdana size=4>This survey has two parts: Part A and Part B.</b><br> <br> <p><font face=Verdana size=4>In Part A, the questions relate to your background and beliefs. <br><br>In Part B the questions are classroom specific. If you teach more than one class of students included in this project, you will complete Part B separately for each classroom. <br><br>If you teach a single subject, please complete the questions that relate to other subjects to the best of your knowledge or consult with a colleague for those details only. <br><br>Thank you for your participation! Your responses provide invaluable insight into the education of your students. <br><br>When you are ready to begin, select the “Start Survey” button. <br><br><b><font face=Verdana size=4>Thank you!"
TeacherIntroPartA,"<b><font face=Verdana size=3>PART A: </b><font face=Verdana size=3>The following questions ask about your background, the school where you teach, your feelings about your job, and your beliefs about teaching and children."
TeacherBackground,<b>This set of questions asks about your background.</b>
TeacherAge,What is your current age?
TeacherAge,years of age
TeacherGender,What is your gender?
TeacherGender,
TeacherGender,
TeacherGender,
TeacherGender,Other (please describe)
TeacherEducation,What is the highest level of education you have completed?
TeacherEducation,Less than high school
TeacherEducation,GED or High school equivalency
TeacherEducation,Some college but no degree
TeacherEducation,"High school diploma or equivalent, plus technical training or certificate"
TeacherEducation,Associate's degree
TeacherEducation,Bachelor's degree
TeacherEducation,Master's degree
TeacherEducation,Doctoral degree
TeacherUndergrad,Indicate your undergraduate field of study. Mark ALL that apply.
TeacherUndergrad,Early childhood education
TeacherUndergrad,Elementary education
TeacherUndergrad,Special education
TeacherUndergrad,Child development
TeacherUndergrad,Reading specialist
TeacherUndergrad,Curriculum and instruction
TeacherUndergrad,Bilingual/bicultural education
TeacherUndergrad,"Other education related major (ex: secondary education, educational psychology, education administration, music education, etc.). Please specify:"
TeacherUndergrad,Non-education major. Please specify:
TeacherUndergrad,Other. Please specify:
TeacherUndergradOtherEd,Please specify other education related major:
TeacherUndergradNonEd,Please specify non-education major:
TeacherUndergradOther,Please specify other major:
TeacherGrad,Indicate the major field of study of your highest graduate degree. Mark ALL that apply.
TeacherGrad,Early childhood education
TeacherGrad,Elementary education
TeacherGrad,Special education
TeacherGrad,Child development
TeacherGrad,Reading specialist
TeacherGrad,Curriculum and instruction
TeacherGrad,Bilingual/bicultural education
TeacherGrad,"Other education related major (ex: secondary education, educational psychology, education administration, music education, etc.). Please specify:"
TeacherGrad,Non-education major. Please specify:
TeacherGrad,Other. Please specify:
TeacherGradOtherEd,Please specify other education related major:
TeacherGradNonEd,Please specify non-education major:
TeacherGradOther,Please specify other major:
TeacherYears,"Counting this school year, how many years have you been a schoolteacher? (please round to the nearest year)"
TeacherYears,Less than one year
TeacherYears,1 to 2 years
TeacherYears,3 to 5 years
TeacherYears,6 to 10 years
TeacherYears,Over 10 years
TeacherSchool,<b>This set of questions asks about the school where you currently teach.</b>
TeacherYearsSchool,"Counting this school year, how many years have you been teaching <b>at this school</b>? (please round to the nearest year)"
TeacherClimateItems,Please indicate how much you agree or disagree with the following statements about this school.
TeacherClimateItems,Strongly Disagree
TeacherClimateItems,Disagree
TeacherClimateItems,Agree
TeacherClimateItems,Strongly Agree
TeacherClimateItems,I feel accepted and respected as a colleague by most staff members.
TeacherClimateItems,Parents are supportive of school staff.
TeacherClimateItems,Students feel supported and comfortable in this school.
TeacherClimateItems,Staff feel supported and comfortable in this school.
TeacherClimateItems,Students are safe when here at this school.
TeacherClimateItems,Staff are safe when here at this school.
TeacherClimateItems,The facilities and property of this school are kept up well.
TeacherClimateItems,The facilities and property of this school are clean.
TeacherClimateItems,Ongoing collaboration is something adults in this school do well.
TeacherClimateItems,Adults working in this school have strong professional relationships.
TeacherClimateItems,Adults working in this school are respectful and supportive of one another.
TeacherFeelJob,"<b>With this set of items, we wish to learn more about teachers' feelings about their job.</b>"
TeacherFeelJobItems,Please select one answer that indicates how often you agree with each of the following statements.
TeacherFeelJobItems,Never
TeacherFeelJobItems,A few times a year or less
TeacherFeelJobItems,Once a month or less
