identifier,labels,source,en-US,de,de_CH,es,es_AR,es_CO,fr,fr_CA,nl,en,es-CO,fr-CA,de-CH,es-AR,en-GH
CaregiverSurveyIntroA,parent_survey_child,<block><b><font face=Verdana size=4>,<block><b><font face=Verdana size=4>,<block><b><font face=Verdana size=4>,<block><b><font face=Verdana size=4>,"<block><b><font face=Verdana size=4>¡Gracias a usted y a su niño(a) por participar en este proyecto de investigación!</b><br> <br> <p><font face=Verdana size=4>Estimamos que diligenciar la siguiente encuesta le tomará aproximadamente 40 minutos. En la encuesta se le harán preguntas sobre su niño(a).<br><br>Si tiene más de un niño(a) y solo uno participa en el proyecto de investigación, responda a las preguntas pensando únicamente en ese niño(a). Si tiene más de un(a) niño(a) y más de uno(a) participa en el proyecto de investigación, debe diligenciar esta encuesta por separado para cada niño(a) participante. <br><br>En algunas preguntas se indica un marco temporal específico que debe tenerse en cuenta al responder. Si no se indica ningún marco temporal, puede pensar en cómo se aplica la respuesta a usted o a su niño(a) en general.<br><br> Le agradecemos que responda la encuesta de la forma más precisa posible con la información de que dispone. Si tiene alguna duda, comuníquesela a quien apoya esta aplicación.<br><br>Cuando esté listo(a) para empezar, seleccione el botón Comenzar Encuesta.<br><br><b><font face=Verdana size=4>¡Muchas gracias!",<block><b><font face=Verdana size=4>,<block><b><font face=Verdana size=4>,,<block><b><font face=Verdana size=4>,<block><b><font face=Verdana size=4>,<block><b><font face=Verdana size=4>,<block><b><font face=Verdana size=4>,<block><b><font face=Verdana size=4>,<block><b><font face=Verdana size=4>,"<block><b><font face=Verdana size=4>¡Gracias a usted y a su niño(a) por participar en este proyecto de investigación!</b><br> <br> <p><font face=Verdana size=4>Estimamos que diligenciar la siguiente encuesta le tomará aproximadamente 40 minutos. En la encuesta se le harán preguntas sobre su niño(a).<br><br>Si tiene más de un niño(a) y solo uno participa en el proyecto de investigación, responda a las preguntas pensando únicamente en ese niño(a). Si tiene más de un(a) niño(a) y más de uno(a) participa en el proyecto de investigación, debe diligenciar esta encuesta por separado para cada niño(a) participante. <br><br>En algunas preguntas se indica un marco temporal específico que debe tenerse en cuenta al responder. Si no se indica ningún marco temporal, puede pensar en cómo se aplica la respuesta a usted o a su niño(a) en general.<br><br> Le agradecemos que responda la encuesta de la forma más precisa posible con la información de que dispone. Si tiene alguna duda, comuníquesela a quien apoya esta aplicación.<br><br>Cuando esté listo(a) para empezar, seleccione el botón Comenzar Encuesta.<br><br><b><font face=Verdana size=4>¡Muchas gracias!",<block><b><font face=Verdana size=4>
CaregiverSectionIntro1,parent_survey_child,<block><b><font face=Verdana size=4>This section asks general information questions and questions about your child's health.,<block><b><font face=Verdana size=4>This section asks general information questions and questions about your child's health.,In diesem Abschnitt werden allgemeine Informationsfragen und Fragen zur Gesundheit Ihres Kindes gestellt.,In diesem Abschnitt werden allgemeine Informationsfragen und Fragen zur Gesundheit Ihres Kindes gestellt.,<block><b><font face=Verdana size=4>En esta sección se indaga por información general y por la salud de su niño(a).,<block><b><font face=Verdana size=4>En esta sección se indaga por información general y por la salud de su niño(a).,<block><b><font face=Verdana size=4>En esta sección se indaga por información general y por la salud de su niño(a).,<block><b><font face=Verdana size=4>Cette section comporte des questions d'ordre général ainsi que des questions concernant la santé de votre enfant.,<block><b><font face=Verdana size=4>Cette section comporte des questions d'ordre général ainsi que des questions concernant la santé de votre enfant.,<block><b><font face=Verdana size=4>Dit gedeelte stelt algemene informatievragen en vragen over de gezondheid van uw kind.,<block><b><font face=Verdana size=4>This section asks general information questions and questions about your child's health.,<block><b><font face=Verdana size=4>En esta sección se indaga por información general y por la salud de su niño(a).,<block><b><font face=Verdana size=4>Cette section comporte des questions d'ordre général ainsi que des questions concernant la santé de votre enfant.,In diesem Abschnitt werden allgemeine Informationsfragen und Fragen zur Gesundheit Ihres Kindes gestellt.,<block><b><font face=Verdana size=4>En esta sección se indaga por información general y por la salud de su niño(a).,<block><b><font face=Verdana size=4>This section asks general information questions and questions about your child's health.
RespondentRelationship,parent_survey_child,Other Non-Relative,Other Non-Relative,Andere Nicht-Verwandte,Andere Nicht-Verwandte,Otro no familiar,Otro no familiar,Otro no familiar,Autre non-parenté,Autre non-parenté,Ander niet-familielid,Other Non-Relative,Otro no familiar,Autre non-parenté,Andere Nicht-Verwandte,Otro no familiar,Other Non-Relative
RespondentRelationshipOtherSpecify,parent_survey_child,Please specify your relationship to the child.,Please specify your relationship to the child.,Bitte geben Sie Ihre Beziehung zu dem Kind an.,Bitte geben Sie Ihre Beziehung zu dem Kind an.,Especifique su relación con el niño.,Especifique su relación con el niño.,Especifique su relación con el niño.,Veuillez spécifier votre relation avec l'enfant.,Veuillez spécifier votre relation avec l'enfant.,Geef alstublieft aan wat uw relatie tot het kind is.,Please specify your relationship to the child.,Especifique su relación con el niño.,Veuillez spécifier votre relation avec l'enfant.,Bitte geben Sie Ihre Beziehung zu dem Kind an.,Especifique su relación con el niño.,Please specify your relationship to the child.
RespondentTimeCaring,parent_survey_child,years,years,Jahre,Jahre,años,años,años,années,années,jaren,years,años,années,Jahre,años,years
RespondentTimeCaringYears,parent_survey_child,months,months,Monate,Monate,meses,meses,meses,mois,mois,maanden,months,meses,mois,Monate,meses,months
ChildAgeYears,parent_survey_child,years of age,years of age,Lebensjahre,Lebensjahre,años,años,años,ans,ans,leeftijdsjaren,years of age,años,ans,Lebensjahre,años,years of age
ChildHeightCurrent,parent_survey_child,What is your child's CURRENT height? (please estimate to the best of your knowledge),What is your child's CURRENT height? (please estimate to the best of your knowledge),Wie groß ist Ihr Kind AKTUELL?,Wie groß ist Ihr Kind AKTUELL?,"¿Cuál es la estatura ACTUAL de su niño(a)? (por favor, calcule lo más preciso posible)","¿Cuál es la estatura ACTUAL de su niño(a)? (por favor, calcule lo más preciso posible)","¿Cuál es la estatura ACTUAL de su niño(a)? (por favor, calcule lo más preciso posible)",Quelle est la taille actuelle de votre enfant? (merci d'estimer aussi précisément que possible),Quelle est la taille actuelle de votre enfant? (merci d'estimer aussi précisément que possible),Wat is de huidige lengte van uw kind? (schat dit indien nodig zo nauwkeurig mogelijk),What is your child's CURRENT height? (please estimate to the best of your knowledge),"¿Cuál es la estatura ACTUAL de su niño(a)? (por favor, calcule lo más preciso posible)",Quelle est la taille actuelle de votre enfant? (merci d'estimer aussi précisément que possible),Wie groß ist Ihr Kind AKTUELL?,"¿Cuál es la estatura ACTUAL de su niño(a)? (por favor, calcule lo más preciso posible)",What is your child's CURRENT height? (please estimate to the best of your knowledge)
ChildHeightCurrentFeet,parent_survey_child,meters,meters,Meter,Meter,metros,metros,metros,mètres,mètres,meters,meters,metros,mètres,Meter,metros,meters
ChildHeightCurrentInches,parent_survey_child,centimeters,centimeters,Zentimeter,Zentimeter,centímetros,centímetros,centímetros,centimètres,centimètres,centimeters,centimeters,centímetros,centimètres,Zentimeter,centímetros,centimeters
