item_id,labels,en,es,de,fr,nl,it,pt
parent_survey_child_001,CaregiverSurveyIntroA,<block><b><font face=Verdana size=4>,"<block><b><font face=""Verdana"" size=""4"">¡Gracias a usted y a su niño(a) por participar en este proyecto de investigación!</b><br> <br> <p><font face=""Verdana"" size=""4"">Estimamos que diligenciar la siguiente encuesta le tomará aproximadamente 40 minutos. En la encuesta se le harán preguntas sobre su niño(a).<br><br>Si tiene más de un niño(a) y solo uno participa en el proyecto de investigación, responda a las preguntas pensando únicamente en ese niño(a). Si tiene más de un(a) niño(a) y más de uno(a) participa en el proyecto de investigación, debe diligenciar esta encuesta por separado para cada niño(a) participante. <br><br>En algunas preguntas se indica un marco temporal específico que debe tenerse en cuenta al responder. Si no se indica ningún marco temporal, puede pensar en cómo se aplica la respuesta a usted o a su niño(a) en general.<br><br> Le agradecemos que responda la encuesta de la forma más precisa posible con la información de que dispone. Si tiene alguna duda, comuníquesela a quien apoya esta aplicación.<br><br>Cuando esté listo(a) para empezar, seleccione el botón ""Comenzar Encuesta"".<br><br><b><font face=""Verdana"" size=""4"">¡Muchas gracias!","<block><b><font face=""Verdana"" size=""4"">Wir danken Ihnen und Ihrem Kind für die Teilnahme an diesem Forschungsprojekt! </b><br> <br> <p><font face=""Verdana"" size=""4"">Die folgende Umfrage dauert etwa 20-30 Minuten und enthält Fragen zu Ihrem Kind.<br><br>Bitte denken Sie bei der Beantwortung der Fragen an Ihr Kind, das an diesem Forschungsprojekt teilnimmt. Wenn Sie mehr als ein Kind haben, das an dem Forschungsprojekt teilnimmt, füllen Sie diesen Fragebogen für jedes teilnehmende Kind separat aus.<br><br>Bei einigen Fragen ist ein bestimmter Zeitrahmen angegeben, auf den Sie sich bei der Beantwortung der Frage beziehen sollen. Wenn kein Zeitrahmen angegeben ist, können Sie die Frage so beantworten, wie es am besten auf Sie oder Ihr Kind im Allgemeinen zutrifft.<br><br>Wir bitten Sie, die Fragen so vollständig und genau wie möglich zu beantworten. Wenn Sie Fragen zu dieser Umfrage haben, wenden Sie sich bitte an die Forschungskoordinatorin (luise_hornoff@eva.mpg.de).<br><br>Wenn Sie bereit sind zu beginnen, klicken Sie auf ""Umfrage starten"".<br><br><b><font face=""Verdana"" size=""4"">Vielen Dank!",,,,
parent_survey_child_002,CaregiverSectionIntro1,This section asks general information questions and questions about your child's health.,"Por favor, indique su relación con el niño que participa en el proyecto.","Bitte geben Sie an, in welcher Beziehung Sie zu dem Kind stehen, das hier teilnimmt.",Cette section comporte des questions d'ordre général ainsi que des questions concernant la santé de votre enfant.,Dit gedeelte stelt algemene informatievragen en vragen over de gezondheid van uw kind.,,
parent_survey_child_003,CaregiverSectionIntro1,"<block><b><font face=""Verdana"" size=""4"">This section asks general information questions and questions about your child's health.","<block><b><font face=""Verdana"" size=""4"">En esta sección se indaga por información general y por la salud de su niño(a).",In diesem Abschnitt werden allgemeine Informationsfragen und Fragen zur Gesundheit Ihres Kindes gestellt.,"<block><b><font face=""Verdana"" size=""4"">Cette section comporte des questions d'ordre général ainsi que des questions concernant la santé de votre enfant.","<block><b><font face=""Verdana"" size=""4"">Dit gedeelte stelt algemene informatievragen en vragen over de gezondheid van uw kind.",,
parent_survey_child_004,RespondentRelationship,Please indicate your relationship to the child participating in this research project.,"Por favor, indique su relación con el niño que participa en el proyecto.","Bitte geben Sie an, in welcher Beziehung Sie zu dem Kind stehen, das hier teilnimmt.",Veuillez indiquer votre relation avec l'enfant participant à ce projet de recherche.,Geef alstublieft aan wat uw relatie tot het kind dat aan dit onderzoeksproject deelneemt is.,,
parent_survey_child_005,RespondentRelationship,Biological or Adoptive Mother,Madre biológica o adoptiva,Biologische Mutter oder Adoptivmutter,Mère biologique ou adoptive,Biologische of adoptiemoeder,,
parent_survey_child_006,RespondentRelationship,Biological or Adoptive Father,Padre biológico o adoptivo,Biologischer Vater oder Adoptivvater,Père biologique ou adoptif,Biologische of adoptievader,,
parent_survey_child_007,RespondentRelationship,Step-mother,Madrastra,Stiefmutter,Belle-mère,Stiefmoeder,,
parent_survey_child_008,RespondentRelationship,Step-father,Padrastro,Stiefvater,Beau-père,Stiefvader,,
parent_survey_child_009,RespondentRelationship,,Abuela,Großmutter,,,,
parent_survey_child_010,RespondentRelationship,,Abuela,Großmutter,,,,
parent_survey_child_011,RespondentRelationship,Foster Parent,Padre de acogida,Pflegeeltern,Parent d'accueil,Pleegouder,,
parent_survey_child_012,RespondentRelationship,Other Relative,Otro familiar,Andere Verwandte,Autre parenté,Ander familielid,,
parent_survey_child_013,RespondentRelationship,Other Non-Relative,Otro no familiar,Andere Nicht-Verwandte,Autre non-parenté,Ander niet-familielid,,
parent_survey_child_014,RespondentRelationshipOtherSpecify,Please specify your relationship to the child.,Especifique su relación con el niño.,Bitte geben Sie Ihre Beziehung zu dem Kind an.,Veuillez spécifier votre relation avec l'enfant.,Geef alstublieft aan wat uw relatie tot het kind is.,,
parent_survey_child_015,RespondentTimeCaring,Please indicate for how long you have been caring for this child.,Indique durante cuánto tiempo ha cuidado de este niño(a).,"Bitte geben Sie an, wie lange Sie dieses Kind bereits betreuen.",Veuillez indiquer depuis combien de temps vous vous occupez de cet enfant.,Geef alstublieft aan hoe lang u al voor dit kind zorgt.,,
parent_survey_child_016,RespondentTimeCaring,years,años,Jahre,années,jaren,,
parent_survey_child_017,RespondentTimeCaring,years,años,Jahre,années,jaren,,
parent_survey_child_018,RespondentTimeCaringYears,months,meses,Monate,mois,maanden,,
parent_survey_child_019,RespondentTimeCaringYears,months,meses,Monate,mois,maanden,,
parent_survey_child_020,ChildAgeYears,What is your child's current age in years?,¿Cuál es la edad ACTUAL de su hijo(a) en años?,Wie alt ist Ihr Kind derzeit in Jahren?,Quel est l'âge actuel de votre enfant en années?,Wat is de huidige leeftijd van uw kind in jaren?,,
parent_survey_child_021,ChildAgeYears,years of age,años,Lebensjahre,ans,leeftijdsjaren,,
parent_survey_child_022,ChildHeightCurrent,What is your child's CURRENT height? (please estimate to the best of your knowledge),"¿Cuál es la estatura ACTUAL de su niño(a)? (por favor, calcule lo más preciso posible)",Wie groß ist Ihr Kind AKTUELL?,Quelle est la taille actuelle de votre enfant? (merci d'estimer aussi précisément que possible),Wat is de huidige lengte van uw kind? (schat dit indien nodig zo nauwkeurig mogelijk),,
parent_survey_child_023,ChildHeightCurrentFeet,meters,metros,Meter,mètres,meters,,
parent_survey_child_024,ChildHeightCurrentFeet,meters,metros,Meter,mètres,meters,,
parent_survey_child_025,ChildHeightCurrentInches,centimeters,centímetros,Zentimeter,centimètres,centimeters,,
parent_survey_child_026,ChildHeightCurrentInches,centimeters,centímetros,Zentimeter,centimètres,centimeters,,
parent_survey_child_027,ChildWeightCurrent,What is your child's CURRENT weight? (please estimate to the best of your knowledge),"¿Cuál es el peso ACTUAL de su niño(a)? (por favor, calcule lo más preciso posible)",Was ist das AKTUELLE Gewicht Ihres Kindes?,Quel est le poids actuel de votre enfant? (merci d'estimer aussi précisément que possible),Wat is het huidige gewicht van uw kind? (schat dit indien nodig zo nauwkeurig mogelijk),,
parent_survey_child_028,ChildWeightCurrentPounds,pounds,kilos,kilo,livres,pounds,,
parent_survey_child_029,ChildWeightCurrentPounds,pounds,kilos,kilo,livres,pounds,,
parent_survey_child_030,ChildBornEarly,Was your child born early (more than three weeks before due date)?,¿Su niño(a) nació prematuramente (más de tres semanas antes de la fecha prevista de parto)?,Wurde Ihr Kind zu früh geboren (mehr als drei Wochen vor dem errechneten Geburtstermin)?,Votre enfant est-il né prématurément (c'est-à-dire plus de trois semaines avant la date prévue)?,Is uw kind te vroeg geboren (meer dan drie weken vóór de uitgerekende datum)?,,
parent_survey_child_031,ChildBornEarly,,No,Nein,,,,
parent_survey_child_032,ChildBornEarly,,No,Nein,,,,
parent_survey_child_033,ChildBornEarly,Don't know,No sé,weiß nicht,Je ne sais pas,Weet ik niet,,
parent_survey_child_034,ChildWeightBirth,"How much did your child weigh at birth? (if you do not know, leave blank)","¿Cuánto pesó su niño(a) al nacer? (si no lo sabe, déjelo en blanco)","Wie viel hat ihr Kind bei der Geburt gewogen? (wenn Sie es nicht wissen, bitte leer lass)","Quel était le poids de votre enfant à la naissance ? (si vous ne savez pas, laissez vide)","Hoeveel woog uw kind bij de geboorte? (als u het niet weet, laat het leeg)",,
parent_survey_child_035,ChildWeightBirth,Grams,Gramos,Gramm,grammes,gram,,
parent_survey_child_036,ChildHealth,"In general, how would you describe your child's health?","En general, ¿cómo describiría la salud de su niño(a)?",Wie würden Sie den Gesundheitszustand Ihres Kindes im Allgemeinen beschreiben?,"En général, comment décririez-vous la santé de votre enfant?",Hoe zou u de gezondheid van uw kind over het algemeen beschrijven?,,
parent_survey_child_037,ChildHealth,Excellent,Excelente,Hervorragend,Excellente,Uitstekend,,
parent_survey_child_038,ChildHealth,Very Good,Muy buena,Sehr gut,Très bonne,Zeer goed,,
parent_survey_child_039,ChildHealth,Good,Buena,Gut,Bonne,Goed,,
parent_survey_child_040,ChildHealth,Fair,Regular,Mittelmäßig,Passable,Gematigd,,
parent_survey_child_041,ChildHealth,Poor,Deficiente,Schlecht,Mauvaise,Slecht,,
parent_survey_child_042,ChildTeeth,How would you describe the condition of your child's teeth?,¿Cómo describiría la salud dental de su niño(a)?,Wie würden Sie den Zustand der Zähne Ihres Kindes beschreiben?,Comment décririez-vous l'état des dents de votre enfant?,Hoe zou u de staat van het gebit van uw kind beschrijven?,,
parent_survey_child_043,ChildTeeth,Excellent,Excelente,Hervorragend,Excellente,Uitstekend,,
parent_survey_child_044,ChildTeeth,Very Good,Muy buena,Sehr gut,Très bonne,Zeer goed,,
parent_survey_child_045,ChildTeeth,Good,Buena,Gut,Bonne,Goed,,
