identifier,translation
CaregiverSurveyIntroA,<block><b><font face=Verdana size=4>
CaregiverSectionIntro1,<block><b><font face=Verdana size=4>This section asks general information questions and questions about your child's health.
CaregiverSectionIntro1,<block><b><font face=Verdana size=4>This section asks general information questions and questions about your child's health.
RespondentRelationship,Please indicate your relationship to the child participating in this research project.
RespondentRelationship,Biological or Adoptive Mother
RespondentRelationship,Biological or Adoptive Father
RespondentRelationship,Step-mother
RespondentRelationship,Step-father
RespondentRelationship,
RespondentRelationship,
RespondentRelationship,Foster Parent
RespondentRelationship,Other Relative
RespondentRelationship,Other Non-Relative
RespondentRelationshipOtherSpecify,Please specify your relationship to the child.
RespondentTimeCaring,Please indicate for how long you have been caring for this child.
RespondentTimeCaring,years
RespondentTimeCaring,years
RespondentTimeCaringYears,months
RespondentTimeCaringYears,months
ChildAgeYears,What is your child's current age in years?
ChildAgeYears,years of age
ChildHeightCurrent,What is your child's CURRENT height? (please estimate to the best of your knowledge)
ChildHeightCurrentFeet,meters
ChildHeightCurrentFeet,meters
ChildHeightCurrentInches,centimeters
ChildHeightCurrentInches,centimeters
ChildWeightCurrent,What is your child's CURRENT weight? (please estimate to the best of your knowledge)
ChildWeightCurrentPounds,pounds
ChildWeightCurrentPounds,pounds
ChildBornEarly,Was your child born early (more than three weeks before due date)?
ChildBornEarly,
ChildBornEarly,
ChildBornEarly,Don't know
ChildWeightBirth,"How much did your child weigh at birth? (if you do not know, leave blank)"
ChildWeightBirth,Grams
ChildHealth,"In general, how would you describe your child's health?"
ChildHealth,Excellent
ChildHealth,Very Good
ChildHealth,Good
ChildHealth,Fair
ChildHealth,Poor
ChildTeeth,How would you describe the condition of your child's teeth?
ChildTeeth,Excellent
ChildTeeth,Very Good
ChildTeeth,Good
ChildTeeth,Fair
ChildTeeth,Poor
ChildPhysicalActivity,"<b>DURING THE PAST WEEK</b>, on how many days did your child exercise, play a sport, or participate in physical activity (either in school or outside of school) for at least 60 minutes?"
ChildPhysicalActivity,0 days
ChildPhysicalActivity,1 - 3 days
ChildPhysicalActivity,4 - 6 days
ChildPhysicalActivity,Every day
ChildChronicHealth,"<b>DURING THE PAST 12 MONTHS</b>, has your child had FREQUENT or CHRONIC difficulty with any of the following?"
ChildBreathing,Breathing or other respiratory problems (such as wheezing or shortness of breath)
ChildBreathing,
ChildBreathing,
ChildBreathing,Don't know
ChildEating,Eating or swallowing because of a health condition
ChildEating,
ChildEating,
ChildEating,Don't know
ChildDigestion,"Digesting food, including stomach/intestinal problems, constipation, or diarrhea"
ChildDigestion,
ChildDigestion,
ChildDigestion,Don't know
ChildPain,"Repeated or chronic physical pain, including headaches or other back or body pain"
ChildPain,
ChildPain,
ChildPain,Don't know
ChildToothache,Toothaches
ChildToothache,
ChildToothache,
ChildToothache,Don't know
ChildGums,Bleeding gums
ChildGums,
ChildGums,
ChildGums,Don't know
ChildCavities,Decayed teeth or cavities
ChildCavities,
ChildCavities,
ChildCavities,Don't know
ChildHealthOther,Does your child have any of the following?
ChildConcentration,"Serious difficulty concentrating, remembering, or making decisions because of a physical, mental, or emotional condition"
ChildConcentration,
ChildConcentration,
ChildConcentration,Don't know
ChildStairs,Serious difficulty walking or climbing stairs
ChildStairs,Yes
ChildStairs,No
ChildDressBathe,Difficulty dressing or bathing
ChildDressBathe,Yes
ChildDressBathe,No
ChildHearing,Deafness or problems with hearing
ChildHearing,Yes
ChildHearing,No
ChildEyesight,"Blindness or problems with seeing, even when wearing glasses"
ChildEyesight,Yes
ChildEyesight,No
ChildVisionHearingOther,"Does your child have any other vision or hearing issues (e.g., frequent ear infections; nearsighted or farsighted)?"
ChildVisionHearingOther,Yes
ChildVisionHearingOther,No
ChildVisionHearingExp,"If yes, please explain:"
ChildGenetic,Has a doctor or other health care provider <b>EVER</b> told you that your child has a genetic or inherited condition?
ChildGenetic,
ChildGenetic,
ChildGenetic,Don't know
ChildGenetic,Prefer not to respond
ChildGeneticExp,"If yes, please note or explain the condition:"
ChildHealthConditions,"Has a doctor or other health care provider, or educator <b>EVER</b> told you that your child has any of the following:"
ChildConduct,Behavioral or Conduct Problems
ChildConduct,No
ChildConduct,Yes
ChildConduct,Don't know
ChildConduct,Prefer not to respond
ChildConductCurrent,Does your child <b>CURRENTLY</b > have Behavioral or Conduct Problems?
ChildConductCurrent,Yes
ChildConductCurrent,No
ChildConductLevel,"Are the current Behavioral or Conduct Problems, Mild, Moderate, or Severe?"
ChildConductLevel,Mild
ChildConductLevel,Moderate
ChildConductLevel,Severe
ChildDevDelay,Developmental Delay
ChildDevDelay,
ChildDevDelay,
ChildDevDelay,Don't know
ChildDevDelay,Prefer not to respond
ChildDevDelayCurrent,Does your child <b>CURRENTLY</b > have Developmental Delay?
ChildDevDelayCurrent,Yes
ChildDevDelayCurrent,No
ChildDevDelayLevel,"Are the current Developmental Delays, Mild, Moderate, or Severe?"
ChildDevDelayLevel,Mild
ChildDevDelayLevel,Moderate
ChildDevDelayLevel,Severe
ChildIntellDis,Intellectual Disability
ChildIntellDis,
ChildIntellDis,
ChildIntellDis,Don't know
ChildIntellDis,Prefer not to respond
ChildIntellDisCurrent,Does your child <b>CURRENTLY</b > have an Intellectual Disability?
ChildIntellDisCurrent,Yes
ChildIntellDisCurrent,No
ChildIntellDisLevel,"Is the current Intellectual Disability, Mild, Moderate, or Severe?"
ChildIntellDisLevel,Mild
ChildIntellDisLevel,Moderate
ChildIntellDisLevel,Severe
ChildSpeechLang,Speech or other language disorder
ChildSpeechLang,
ChildSpeechLang,
ChildSpeechLang,Don't know
ChildSpeechLang,Prefer not to respond
ChildSpeechLangCurrent,Does your child <b>CURRENTLY</b > have a Speech or other language disorder?
ChildSpeechLangCurrent,Yes
ChildSpeechLangCurrent,No
ChildSpeechLangLevel,"Is the current Speech or other language disorder, Mild, Moderate, or Severe?"
ChildSpeechLangLevel,Mild
ChildSpeechLangLevel,Moderate
ChildSpeechLangLevel,Severe
ChildLearnDis,Learning Disability
ChildLearnDis,
ChildLearnDis,
ChildLearnDis,Don't know
ChildLearnDis,Prefer not to respond
ChildLearnDisCurrent,Does your child <b>CURRENTLY</b > have a Learning Disability?
ChildLearnDisCurrent,Yes
ChildLearnDisCurrent,No
ChildLearnDisLevel,"Is the current Learning Disability, Mild, Moderate, or Severe?"
ChildLearnDisLevel,Mild
ChildLearnDisLevel,Moderate
ChildLearnDisLevel,Severe
ChildAutism,Autism Spectrum Disorder (ASD) <br>(includes Asperger's Disorder or Pervasive Developmental Disorder (PDD))
ChildAutism,
ChildAutism,
ChildAutism,Don't know
ChildAutism,Prefer not to respond
ChildAutismCurrent,Does your child <b>CURRENTLY</b > have an Autism Spectrum Disorder (ASD) (includes Asperger's Disorder or Pervasive Developmental Disorder (PDD))?
ChildAutismCurrent,Yes
ChildAutismCurrent,No
ChildAutismLevel,"Is the current Autism Spectrum Disorder (includes Asperger's Disorder or Pervasive Developmental Disorder), Mild, Moderate, or Severe?"
ChildAutismLevel,Mild
ChildAutismLevel,Moderate
ChildAutismLevel,Severe
ChildADHD,Attention Deficit Disorder or Attention Deficit Hyperactivity Disorder (ADD or ADHD)
ChildADHD,
ChildADHD,
ChildADHD,Don't know
ChildADHD,Prefer not to respond
ChildADHDCurrent,Does your child <b>CURRENTLY</b > have Attention Deficit Disorder or Attention Deficit Hyperactivity Disorder (ADD or ADHD)?
ChildADHDCurrent,Yes
ChildADHDCurrent,No
ChildADHDLevel,"Is the current Attention Deficit Disorder or Attention Deficit Hyperactivity Disorder (ADD or ADHD), Mild, Moderate, or Severe?"
ChildADHDLevel,Mild
ChildADHDLevel,Moderate
ChildADHDLevel,Severe
ChildSexBirth,What was your child's sex at birth (i.e. on their birth certificate)?
ChildSexBirth,
ChildSexBirth,
ChildSexBirth,Other (describe)
ChildGenderIntro,The following set of questions asks about gender identity. <br><br>Would you like to answer these additional questions about gender? <br>(Note: your child will NOT be asked these questions)
ChildGenderCurrent,What is your child's current gender identification?
ChildGenderCurrent,What is your child's current gender identification?
ChildGenderCurrent,What is your child's current gender identification?
ChildGenderCurrent,What is your child's current gender identification?
ChildBehGirls,"Over the last year, how frequently did your child engage in behaviors or express preferences that are more commonly associated with girls?"
ChildBehGirls,Never
ChildBehGirls,Rarely
ChildBehGirls,Sometimes
ChildBehGirls,Often
ChildBehGirls,Always
ChildBeGirl,"Over the last year, how frequently did your child state that they are, or want to be, a girl?"
ChildBeGirl,Never
ChildBeGirl,Rarely
ChildBeGirl,Sometimes
ChildBeGirl,Often
ChildBeGirl,Always
ChildBehBoys,"Over the last year, how frequently did your child engage in behaviors or express preferences that are more commonly associated with boys?"
ChildBehBoys,Never
