identifier,labels,de,de-CH,en-GH,en-US,es,es-AR,es-CO,fr,fr-CA,nl,source
CaregiverSurveyIntroA,parent_survey_child,<block><b><font face=Verdana size=4>,<block><b><font face=Verdana size=4>,<block><b><font face=Verdana size=4>,<block><b><font face=Verdana size=4>,"<block><b><font face=Verdana size=4>¡Gracias a usted y a su niño(a) por participar en este proyecto de investigación!</b><br> <br> <p><font face=Verdana size=4>Estimamos que diligenciar la siguiente encuesta le tomará aproximadamente 40 minutos. En la encuesta se le harán preguntas sobre su niño(a).<br><br>Si tiene más de un niño(a) y solo uno participa en el proyecto de investigación, responda a las preguntas pensando únicamente en ese niño(a). Si tiene más de un(a) niño(a) y más de uno(a) participa en el proyecto de investigación, debe diligenciar esta encuesta por separado para cada niño(a) participante. <br><br>En algunas preguntas se indica un marco temporal específico que debe tenerse en cuenta al responder. Si no se indica ningún marco temporal, puede pensar en cómo se aplica la respuesta a usted o a su niño(a) en general.<br><br> Le agradecemos que responda la encuesta de la forma más precisa posible con la información de que dispone. Si tiene alguna duda, comuníquesela a quien apoya esta aplicación.<br><br>Cuando esté listo(a) para empezar, seleccione el botón Comenzar Encuesta.<br><br><b><font face=Verdana size=4>¡Muchas gracias!",<block><b><font face=Verdana size=4>,<block><b><font face=Verdana size=4>,,<block><b><font face=Verdana size=4>,<block><b><font face=Verdana size=4>,<block><b><font face=Verdana size=4>
CaregiverSectionIntro1,parent_survey_child,In diesem Abschnitt werden allgemeine Informationsfragen und Fragen zur Gesundheit Ihres Kindes gestellt.,In diesem Abschnitt werden allgemeine Informationsfragen und Fragen zur Gesundheit Ihres Kindes gestellt.,,,"Por favor, indique su relación con el niño que participa en el proyecto.","<block><b><font face=""Verdana"" size=""4"">En esta sección se indaga por información general y por la salud de su niño(a).","<block><b><font face=""Verdana"" size=""4"">En esta sección se indaga por información general y por la salud de su niño(a).",Cette section comporte des questions d'ordre général ainsi que des questions concernant la santé de votre enfant.,"<block><b><font face=""Verdana"" size=""4"">Cette section comporte des questions d'ordre général ainsi que des questions concernant la santé de votre enfant.","<block><b><font face=""Verdana"" size=""4"">Dit gedeelte stelt algemene informatievragen en vragen over de gezondheid van uw kind.","<block><b><font face=""Verdana"" size=""4"">This section asks general information questions and questions about your child's health."
CaregiverSectionIntro1,parent_survey_child,In diesem Abschnitt werden allgemeine Informationsfragen und Fragen zur Gesundheit Ihres Kindes gestellt.,In diesem Abschnitt werden allgemeine Informationsfragen und Fragen zur Gesundheit Ihres Kindes gestellt.,,,"<block><b><font face=""Verdana"" size=""4"">En esta sección se indaga por información general y por la salud de su niño(a).","<block><b><font face=""Verdana"" size=""4"">En esta sección se indaga por información general y por la salud de su niño(a).","<block><b><font face=""Verdana"" size=""4"">En esta sección se indaga por información general y por la salud de su niño(a).","<block><b><font face=""Verdana"" size=""4"">Cette section comporte des questions d'ordre général ainsi que des questions concernant la santé de votre enfant.","<block><b><font face=""Verdana"" size=""4"">Cette section comporte des questions d'ordre général ainsi que des questions concernant la santé de votre enfant.","<block><b><font face=""Verdana"" size=""4"">Dit gedeelte stelt algemene informatievragen en vragen over de gezondheid van uw kind.","<block><b><font face=""Verdana"" size=""4"">This section asks general information questions and questions about your child's health."
RespondentRelationship,parent_survey_child,"Bitte geben Sie an, in welcher Beziehung Sie zu dem Kind stehen,"Bitte geben Sie an,"Bitte geben Sie an, in welcher Beziehung Sie zu dem Kind stehen, das hier teilnimmt.",,,"Por favor, indique su relación con el niño que participa en el proyecto.","Por favor, indique su relación con el niño que participa en el proyecto.","Por favor, indique su relación con el niño que participa en el proyecto.",Veuillez indiquer votre relation avec l'enfant participant à ce projet de recherche.,Veuillez indiquer votre relation avec l'enfant participant à ce projet de recherche.,Geef alstublieft aan wat uw relatie tot het kind dat aan dit onderzoeksproject deelneemt is.,Please indicate your relationship to the child participating in this research project.
RespondentRelationship,parent_survey_child,Biologische Mutter oder Adoptivmutter,Biologische Mutter oder Adoptivmutter,,,Madre biológica o adoptiva,Madre biológica o adoptiva,Madre biológica o adoptiva,Mère biologique ou adoptive,Mère biologique ou adoptive,Biologische of adoptiemoeder,Biological or Adoptive Mother
RespondentRelationship,parent_survey_child,Biologischer Vater oder Adoptivvater,Biologischer Vater oder Adoptivvater,,,Padre biológico o adoptivo,Padre biológico o adoptivo,Padre biológico o adoptivo,Père biologique ou adoptif,Père biologique ou adoptif,Biologische of adoptievader,Biological or Adoptive Father
RespondentRelationship,parent_survey_child,Stiefmutter,Stiefmutter,,,Madrastra,Madrastra,Madrastra,Belle-mère,Belle-mère,Stiefmoeder,Step-mother
RespondentRelationship,parent_survey_child,Stiefvater,Stiefvater,,,Padrastro,Padrastro,Padrastro,Beau-père,Beau-père,Stiefvader,Step-father
RespondentRelationship,parent_survey_child,Großmutter,,,,Abuela,,,,,,
RespondentRelationship,parent_survey_child,Großmutter,,,,Abuela,,,,,,
RespondentRelationship,parent_survey_child,Pflegeeltern,Pflegeeltern,,,Padre de acogida,Padre de acogida,Padre de acogida,Parent d'accueil,Parent d'accueil,Pleegouder,Foster Parent
RespondentRelationship,parent_survey_child,Andere Verwandte,Andere Verwandte,,,Otro familiar,Otro familiar,Otro familiar,Autre parenté,Autre parenté,Ander familielid,Other Relative
RespondentRelationship,parent_survey_child,Andere Nicht-Verwandte,Andere Nicht-Verwandte,Other Non-Relative,Other Non-Relative,Otro no familiar,Otro no familiar,Otro no familiar,Autre non-parenté,Autre non-parenté,Ander niet-familielid,Other Non-Relative
RespondentRelationshipOtherSpecify,parent_survey_child,Bitte geben Sie Ihre Beziehung zu dem Kind an.,Bitte geben Sie Ihre Beziehung zu dem Kind an.,Please specify your relationship to the child.,Please specify your relationship to the child.,Especifique su relación con el niño.,Especifique su relación con el niño.,Especifique su relación con el niño.,Veuillez spécifier votre relation avec l'enfant.,Veuillez spécifier votre relation avec l'enfant.,Geef alstublieft aan wat uw relatie tot het kind is.,Please specify your relationship to the child.
RespondentTimeCaring,parent_survey_child,"Bitte geben Sie an, wie lange Sie dieses Kind bereits betreuen.", wie lange Sie dieses Kind bereits betreuen.", wie lange Sie dieses Kind bereits betreuen.",,,Indique durante cuánto tiempo ha cuidado de este niño(a).,Indique durante cuánto tiempo ha cuidado de este niño(a).,Indique durante cuánto tiempo ha cuidado de este niño(a).,Veuillez indiquer depuis combien de temps vous vous occupez de cet enfant.,Veuillez indiquer depuis combien de temps vous vous occupez de cet enfant.,Geef alstublieft aan hoe lang u al voor dit kind zorgt.,Please indicate for how long you have been caring for this child.
RespondentTimeCaring,parent_survey_child,Jahre,Jahre,years,years,años,años,años,années,années,jaren,years
RespondentTimeCaring,parent_survey_child,Jahre,Jahre,years,years,años,años,años,années,années,jaren,years
RespondentTimeCaringYears,parent_survey_child,Monate,Monate,months,months,meses,meses,meses,mois,mois,maanden,months
RespondentTimeCaringYears,parent_survey_child,Monate,Monate,months,months,meses,meses,meses,mois,mois,maanden,months
ChildAgeYears,parent_survey_child,Wie alt ist Ihr Kind derzeit in Jahren?,Wie alt ist Ihr Kind derzeit in Jahren?,,,¿Cuál es la edad ACTUAL de su hijo(a) en años?,¿Cuál es la edad ACTUAL de su hijo(a) en años?,¿Cuál es la edad ACTUAL de su hijo(a) en años?,Quel est l'âge actuel de votre enfant en années?,Quel est l'âge actuel de votre enfant en années?,Wat is de huidige leeftijd van uw kind in jaren?,What is your child's current age in years?
ChildAgeYears,parent_survey_child,Lebensjahre,Lebensjahre,years of age,years of age,años,años,años,ans,ans,leeftijdsjaren,years of age
ChildHeightCurrent,parent_survey_child,Wie groß ist Ihr Kind AKTUELL?,Wie groß ist Ihr Kind AKTUELL?,What is your child's CURRENT height? (please estimate to the best of your knowledge),What is your child's CURRENT height? (please estimate to the best of your knowledge),"¿Cuál es la estatura ACTUAL de su niño(a)? (por favor, calcule lo más preciso posible)","¿Cuál es la estatura ACTUAL de su niño(a)? (por favor, calcule lo más preciso posible)","¿Cuál es la estatura ACTUAL de su niño(a)? (por favor, calcule lo más preciso posible)",Quelle est la taille actuelle de votre enfant? (merci d'estimer aussi précisément que possible),Quelle est la taille actuelle de votre enfant? (merci d'estimer aussi précisément que possible),Wat is de huidige lengte van uw kind? (schat dit indien nodig zo nauwkeurig mogelijk),What is your child's CURRENT height? (please estimate to the best of your knowledge)
ChildHeightCurrentFeet,parent_survey_child,Meter,Meter,meters,meters,metros,metros,metros,mètres,mètres,meters,meters
ChildHeightCurrentFeet,parent_survey_child,Meter,Meter,meters,meters,metros,metros,metros,mètres,mètres,meters,meters
ChildHeightCurrentInches,parent_survey_child,Zentimeter,Zentimeter,centimeters,centimeters,centímetros,centímetros,centímetros,centimètres,centimètres,centimeters,centimeters
ChildHeightCurrentInches,parent_survey_child,Zentimeter,Zentimeter,centimeters,centimeters,centímetros,centímetros,centímetros,centimètres,centimètres,centimeters,centimeters
ChildWeightCurrent,parent_survey_child,Was ist das AKTUELLE Gewicht Ihres Kindes?,Was ist das AKTUELLE Gewicht Ihres Kindes?,What is your child's CURRENT weight? (please estimate to the best of your knowledge),What is your child's CURRENT weight? (please estimate to the best of your knowledge),"¿Cuál es el peso ACTUAL de su niño(a)? (por favor, calcule lo más preciso posible)","¿Cuál es el peso ACTUAL de su niño(a)? (por favor, calcule lo más preciso posible)","¿Cuál es el peso ACTUAL de su niño(a)? (por favor, calcule lo más preciso posible)",Quel est le poids actuel de votre enfant? (merci d'estimer aussi précisément que possible),Quel est le poids actuel de votre enfant? (merci d'estimer aussi précisément que possible),Wat is het huidige gewicht van uw kind? (schat dit indien nodig zo nauwkeurig mogelijk),What is your child's CURRENT weight? (please estimate to the best of your knowledge)
ChildWeightCurrentPounds,parent_survey_child,kilo,kilo,pounds,pounds,kilos,kilos,kilos,livres,livres,pounds,pounds
ChildWeightCurrentPounds,parent_survey_child,kilo,kilo,pounds,pounds,kilos,kilos,kilos,livres,livres,pounds,pounds
ChildBornEarly,parent_survey_child,Wurde Ihr Kind zu früh geboren (mehr als drei Wochen vor dem errechneten Geburtstermin)?,Wurde Ihr Kind zu früh geboren (mehr als drei Wochen vor dem errechneten Geburtstermin)?,,,¿Su niño(a) nació prematuramente (más de tres semanas antes de la fecha prevista de parto)?,¿Su niño(a) nació prematuramente (más de tres semanas antes de la fecha prevista de parto)?,¿Su niño(a) nació prematuramente (más de tres semanas antes de la fecha prevista de parto)?,Votre enfant est-il né prématurément (c'est-à-dire plus de trois semaines avant la date prévue)?,Votre enfant est-il né prématurément (c'est-à-dire plus de trois semaines avant la date prévue)?,Is uw kind te vroeg geboren (meer dan drie weken vóór de uitgerekende datum)?,Was your child born early (more than three weeks before due date)?
ChildBornEarly,parent_survey_child,Nein,,,,No,,,,,,
ChildBornEarly,parent_survey_child,Nein,,,,No,,,,,,
