"identifier","labels","text","en","es-CO","de","fr-CA","nl","de-CH","es-AR","en-GH"
"CaregiverSurveyIntroB","parent_survey_family","<block><b><font face=Verdana size=4>","<block><b><font face=Verdana size=4>","<block><b><font face=Verdana size=4>","<block><b><font face=Verdana size=4>","<block><b><font face=Verdana size=4>","<block><b><font face=Verdana size=4>","<block><b><font face=Verdana size=4>","<block><b><font face=""""Verdana"""" size=""""4""""> ¡Gracias de nuevo por participar en este proyecto de investigación! </b><br> <br> <p><font face=""""Verdana"""" size=""""4"""">Estimamos que diligenciar la siguiente parte de la encuesta le tomará aproximadamente 20-30 minutos. En esta encuesta se le harán preguntas sobre su hogar y sobre usted mismo(a).<br><br>Le agradecemos que responda la encuesta de la forma más precisa posible con la información que tiene disponible. Si tiene alguna duda","<block><b><font face=Verdana size=4>"
"HomeNeighborhood","parent_survey_family","Please answer the following questions about the community in which you live.","Please answer the following questions about the community where you live.","Responda a las siguientes preguntas sobre la comunidad en la que vive.","Bitte beantworten Sie die folgenden Fragen zu der Gemeinschaft","in der Sie leben.","Veuillez répondre aux questions suivantes concernant la communauté dans laquelle vous vivez.","Beantwoord alstublieft de volgende vragen over de gemeenschap waarin u woont.","Bitte beantworten Sie die folgenden Fragen zu der Gemeinschaft","in der Sie leben."
"HomeNSCHi7a","parent_survey_family","In your neighborhood","are there sidewalks or walking paths?","Does your neighborhood have sidewalks or walking paths?","¿En su vecindario hay aceras o caminos peatonales?","Gibt es in Ihrer Nachbarschaft Bürgersteige oder Spazierwege?","Dans votre quartier","y a-t-il des trottoirs ou des sentiers de marche?","Zijn er in uw buurt stoepen of wandelpaden?","Gibt es in Ihrer Nachbarschaft Bürgersteige oder Spazierwege?"
"HomeNSCHi7a","parent_survey_family","Yes","Yes","Sí","Ja","Oui","Ja","Ja","Sí","Yes"
"HomeNSCHi7a","parent_survey_family","No","No","No","Nein","Non","Nee","Nein","No","No"
"HomeNSCHi7b","parent_survey_family","In your neighborhood","is there a park or playground?","Is there a park or playground in your neighborhood?","¿En su vecindario hay un parque o área de juegos?","Gibt es in Ihrer Nachbarschaft einen Park oder Spielplatz?","Dans votre quartier","y a-t-il un parc ou un terrain de jeu?","Is er in uw buurt een park of speeltuin?","Gibt es in Ihrer Nachbarschaft einen Park oder Spielplatz?"
"HomeNSCHi7b","parent_survey_family","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"HomeNSCHi7b","parent_survey_family","No","No","No","No","No","No","No","No","No"
"HomeNSCHi7c","parent_survey_family","In your neighborhood","is there a community center or recreation center where families get together?","Does your neighborhood have a community center or recreation center where families get together?","¿En su vecindario hay un centro de recreación o centro comunitario donde se reúnen las familias?","Gibt es in Ihrer Nachbarschaft ein Gemeindezentrum oder ein Freizeitzentrum","in dem sich Familien treffen?","Dans votre quartier","y a-t-il un centre communautaire ou un centre de loisirs où les familles se réunissent?","Is er in uw buurt een gemeenschapscentrum of recreatiecentrum waar gezinnen samenkomen?"
"HomeNSCHi7c","parent_survey_family","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"HomeNSCHi7c","parent_survey_family","No","No","No","No","No","No","No","No","No"
"HomeNSCHi7d","parent_survey_family","In your neighborhood","is there a library or other place to get free books?","Is there a library or other place to get free books in your neighborhood?","¿En su vecindario hay una biblioteca o un lugar donde conseguir libros gratis?","Gibt es in Ihrer Nachbarschaft eine Bibliothek oder einen anderen Ort","an dem man kostenlose Bücher erhalten kann?","Dans votre quartier","y a-t-il une bibliothèque ou un autre endroit pour obtenir des livres gratuits?","Is er in uw buurt een bibliotheek of andere plek om gratis boeken te krijgen?"
"HomeNSCHi7d","parent_survey_family","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"HomeNSCHi7d","parent_survey_family","No","No","No","No","No","No","No","No","No"
"HomeNSCHi7e","parent_survey_family","In your neighborhood","is there litter or garbage on the street or sidewalk?","Is there litter or garbage on the street or sidewalk in your neighborhood?","¿En su vecindario hay basura o desperdicios en las calles o aceras?","Gibt es in Ihrer Nachbarschaft Abfall oder Müll auf der Straße oder dem Gehweg?","Dans votre quartier","y a-t-il des déchets ou des ordures sur la rue ou le trottoir?","Is er in uw buurt afval of zwerfvuil op de straat of stoep?","Gibt es in Ihrer Nachbarschaft Abfall oder Müll auf der Straße oder dem Gehweg?"
"HomeNSCHi7e","parent_survey_family","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"HomeNSCHi7e","parent_survey_family","No","No","No","No","No","No","No","No","No"
