identifier,labels,source,en-US,de,de_CH,es,es_AR,es_CO,fr,fr_CA,nl,en,es-CO,fr-CA,de-CH,es-AR,en-GH
CaregiverSurveyIntroB,parent_survey_family,<block><b><font face=Verdana size=4>,<block><b><font face=Verdana size=4>,<block><b><font face=Verdana size=4>,<block><b><font face=Verdana size=4>,"<block><b><font face=Verdana size=4> ¡Gracias de nuevo por participar en este proyecto de investigación! </b><br> <br> <p><font face=Verdana size=4>Estimamos que diligenciar la siguiente parte de la encuesta le tomará aproximadamente 20-30 minutos. En esta encuesta se le harán preguntas sobre su hogar y sobre usted mismo(a).<br><br>Le agradecemos que responda la encuesta de la forma más precisa posible con la información que tiene disponible. Si tiene alguna duda, comuníquesela a quien coordina esta aplicación. <br><br>Cuando esté listo(a) para empezar, seleccione el botón Comenzar Encuesta.<br><br><b><font face=Verdana size=4>¡Muchas gracias!",<block><b><font face=Verdana size=4>,<block><b><font face=Verdana size=4>,,<block><b><font face=Verdana size=4>,<block><b><font face=Verdana size=4>,<block><b><font face=Verdana size=4>,<block><b><font face=Verdana size=4>,<block><b><font face=Verdana size=4>,<block><b><font face=Verdana size=4>,"<block><b><font face=Verdana size=4> ¡Gracias de nuevo por participar en este proyecto de investigación! </b><br> <br> <p><font face=Verdana size=4>Estimamos que diligenciar la siguiente parte de la encuesta le tomará aproximadamente 20-30 minutos. En esta encuesta se le harán preguntas sobre su hogar y sobre usted mismo(a).<br><br>Le agradecemos que responda la encuesta de la forma más precisa posible con la información que tiene disponible. Si tiene alguna duda, comuníquesela a quien coordina esta aplicación. <br><br>Cuando esté listo(a) para empezar, seleccione el botón Comenzar Encuesta.<br><br><b><font face=Verdana size=4>¡Muchas gracias!",<block><b><font face=Verdana size=4>
HomeNeighborhood,parent_survey_family,Please answer the following questions about the community in which you live.,Please answer the following questions about the community in which you live.,"Bitte beantworten Sie die folgenden Fragen zu der Gemeinschaft, in der Sie leben.","Bitte beantworten Sie die folgenden Fragen zu der Gemeinschaft, in der Sie leben.",Responda a las siguientes preguntas sobre la comunidad en la que vive.,Responda a las siguientes preguntas sobre la comunidad en la que vive.,Responda a las siguientes preguntas sobre la comunidad en la que vive.,Veuillez répondre aux questions suivantes concernant la communauté dans laquelle vous vivez.,Veuillez répondre aux questions suivantes concernant la communauté dans laquelle vous vivez.,Beantwoord alstublieft de volgende vragen over de gemeenschap waarin u woont.,Please answer the following questions about the community where you live.,Responda a las siguientes preguntas sobre la comunidad en la que vive.,Veuillez répondre aux questions suivantes concernant la communauté dans laquelle vous vivez.,"Bitte beantworten Sie die folgenden Fragen zu der Gemeinschaft, in der Sie leben.",Responda a las siguientes preguntas sobre la comunidad en la que vive.,Kindly answer the following questions about the community you dey live inside.
HomeNSCHi7a,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
HomeNSCHi7b,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
HomeNSCHi7c,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
HomeNSCHi7d,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
HomeNSCHi7e,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
HomeNSCHi7f,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
HomeNSCHi7g,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
HomeNSCHi8items,parent_survey_family,Your child is safe at school.,Your child is safe at school.,Ihr Kind ist in der Schule sicher.,Ihr Kind ist in der Schule sicher.,Su niño(a) está seguro(a) en la escuela.,Su niño(a) está seguro(a) en la escuela.,Su niño(a) está seguro(a) en la escuela.,Votre enfant est en sécurité à l'école.,Votre enfant est en sécurité à l'école.,Uw kind is veilig op school.,Your child is safe at school.,Su niño(a) está seguro(a) en la escuela.,Votre enfant est en sécurité à l'école.,Ihr Kind ist in der Schule sicher.,Su niño(a) está seguro(a) en la escuela.,Your child dey safe for school.
HomeFood,parent_survey_family,"These are statements people have made about their food situation. For these statements, please mark whether the statement was often true, sometimes true, or never true for your household in the <b>last 12 months</b>.","These are statements people have made about their food situation. For these statements, please mark whether the statement was often true, sometimes true, or never true for your household in the <b>last 12 months</b>.","Dies sind Aussagen, die Menschen über ihre Ernährungssituation gemacht haben. Bitte kreuzen Sie für diese Aussagen an, ob die Aussage in den <b>letzten 12 Monaten</b> für Ihren Haushalt oft, manchmal oder nie stimmte.","Dies sind Aussagen, die Menschen über ihre Ernährungssituation gemacht haben. Bitte kreuzen Sie für diese Aussagen an, ob die Aussage in den <b>letzten 12 Monaten</b> für Ihren Haushalt oft, manchmal oder nie stimmte.","Estas son declaraciones que las personas han hecho sobre situaciones alimentarias. Para cada uno, favor de indicar si ha ocurrido frecuentemente, a veces, o nunca (a Ud. / en su hogar) en <b>los últimos 12 meses</b>.","Estas son declaraciones que las personas han hecho sobre situaciones alimentarias. Para cada uno, favor de indicar si ha ocurrido frecuentemente, a veces, o nunca (a Ud. / en su hogar) en <b>los últimos 12 meses</b>.","Estas son declaraciones que las personas han hecho sobre situaciones alimentarias. Para cada uno, favor de indicar si ha ocurrido frecuentemente, a veces, o nunca (a Ud. / en su hogar) en <b>los últimos 12 meses</b>.","Ce sont des affirmations que les gens ont faites concernant leur situation alimentaire. Pour ces déclarations, indiquez s'il était souvent vrai, parfois vrai ou jamais vrai pour votre foyer au cours <b>des 12 derniers mois</b>.","Ce sont des affirmations que les gens ont faites concernant leur situation alimentaire. Pour ces déclarations, indiquez s'il était souvent vrai, parfois vrai ou jamais vrai pour votre foyer au cours <b>des 12 derniers mois</b>.","Dit zijn uitspraken die mensen hebben gedaan over hun voedselsituatie. Voor deze uitspraken, markeer of de uitspraak vaak waar, soms waar of nooit waar was voor uw huishouden in de <b>afgelopen 12 maanden</b>.","These are statements people have made about their food situation. For these statements, please mark whether the statement was often true, sometimes true, or never true for your household in the <b>last 12 months</b>.","Estas son declaraciones que las personas han hecho sobre situaciones alimentarias. Para cada uno, favor de indicar si ha ocurrido frecuentemente, a veces, o nunca (a Ud. / en su hogar) en <b>los últimos 12 meses</b>.","Ce sont des affirmations que les gens ont faites concernant leur situation alimentaire. Pour ces déclarations, indiquez s'il était souvent vrai, parfois vrai ou jamais vrai pour votre foyer au cours <b>des 12 derniers mois</b>.","Dies sind Aussagen, die Menschen über ihre Ernährungssituation gemacht haben. Bitte kreuzen Sie für diese Aussagen an, ob die Aussage in den <b>letzten 12 Monaten</b> für Ihren Haushalt oft, manchmal oder nie stimmte.","Estas son declaraciones que las personas han hecho sobre situaciones alimentarias. Para cada uno, favor de indicar si ha ocurrido frecuentemente, a veces, o nunca (a Ud. / en su hogar) en <b>los últimos 12 meses</b>.","These things be what dem say about their food place. For these things, mark if dem always true, sometimes true, or never true for your household within <b>last 12 months</b>."
HomeFoodLast,parent_survey_family,Often true,Often true,Trifft oft zu,Trifft oft zu,Frecuentemente,Frecuentemente,Frecuentemente,Souvent vrai,Souvent vrai,Vaak waar,Often true,Frecuentemente,Souvent vrai,Trifft oft zu,Frecuentemente,Many times true
HomeFoodBalanced,parent_survey_family,Often true,Often true,Trifft oft zu,Trifft oft zu,Frecuentemente,Frecuentemente,Frecuentemente,Souvent vrai,Souvent vrai,Vaak waar,Often true,Frecuentemente,Souvent vrai,Trifft oft zu,Frecuentemente,Many times true
HomeFoodSkipMeal,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
