identifier,labels,de,de-CH,en-GH,en-US,es,es-AR,es-CO,fr-CA,nl,source
TeacherSurveyIntro,teacher_survey_classroom,"<b><font face=Verdana size=4>Dies ist Teil B der Umfrage.</b><br> <br> <p><font face=Verdana size=4>In Teil B sind die Fragen klassenbezogen. Wenn Sie mehr als eine Klasse unterrichten, die in dieses Projekt einbezogen ist, führen Sie Teil B für jede Klasse separat durch. <br><br>Wenn Sie nur ein Fach unterrichten, beantworten Sie die Fragen, die sich auf andere Fächer beziehen, nach bestem Wissen oder konsultieren Sie für diese Details einen Kollegen. <br><br>Wenn Sie bereit sind zu beginnen, klicken Sie auf die Schaltfläche „Weiter“. <br><br><b><font face=Verdana size=4>Vielen Dank!","<b><font face=Verdana size=4>This is Part B of the survey.</b><br> <br> <p><font face=Verdana size=4>In Part B the questions are classroom specific. If you teach more than one class of students included in this project, you will complete Part B separately for each classroom. <br><br>If you teach a single subject, please complete the questions that relate to other subjects to the best of your knowledge or consult with a colleague for those details only. <br><br>When you are ready to begin, select the “Next” button. <br><br><b><font face=Verdana size=4>Thank you!","<b><font face=Verdana size=4>This be Part B of de survey.</b><br> <br> <p><font face=Verdana size=4>In Part B, de questions dey specific to de classroom. If you teach more than one class wey dey part of dis project, you go do Part B for each classroom. <br><br>If you teach only one subject, abeg complete de questions related to other subjects de best way you know fit or ask your colleague about dat one. <br><br>When you ready to start, press de “Next” button. <br><br><b><font face=Verdana size=4>Asante!","<b><font face=Verdana size=4>This is Part B of the survey.</b><br> <br> <p><font face=Verdana size=4>In Part B the questions are classroom specific. If you teach more than one class of students included in this project, you will complete Part B separately for each classroom. <br><br>If you teach a single subject, please complete the questions that relate to other subjects to the best of your knowledge or consult with a colleague for those details only. <br><br>When you are ready to begin, select the “Next” button. <br><br><b><font face=Verdana size=4>Thank you!","<b><font face=Verdana size=4>Esta es la Parte B de la encuesta. </b><br> <br> <p><font face=Verdana size=4>En esta parte las preguntas son específicas a cada salón. Si usted enseña en más de un salón, debe completar esta parte por cada salón en donde tenga estudiantes participando en el proyecto. <br><br>Si enseña una sola asignatura, debe completar las preguntas que se refieren a otras asignaturas según su saber o consulte con un colega sólo para esos detalles.<br><br>Cuando esté listo para empezar, seleccione el botón Siguiente.<br><br><b><font face=Verdana size=4> Muchas gracias.","<b><font face=Verdana size=4>This is Part B of the survey.</b><br> <br> <p><font face=Verdana size=4>In Part B the questions are classroom specific. If you teach more than one class of students included in this project, you will complete Part B separately for each classroom. <br><br>If you teach a single subject, please complete the questions that relate to other subjects to the best of your knowledge or consult with a colleague for those details only. <br><br>When you are ready to begin, select the “Next” button. <br><br><b><font face=Verdana size=4>Thank you!","<b><font face=Verdana size=4>This is Part B of the survey.</b><br> <br> <p><font face=Verdana size=4>In Part B the questions are classroom specific. If you teach more than one class of students included in this project, you will complete Part B separately for each classroom. <br><br>If you teach a single subject, please complete the questions that relate to other subjects to the best of your knowledge or consult with a colleague for those details only. <br><br>When you are ready to begin, select the “Next” button. <br><br><b><font face=Verdana size=4>Thank you!","<b><font face=Verdana size=4>This is Part B of the survey.</b><br> <br> <p><font face=Verdana size=4>In Part B the questions are classroom specific. If you teach more than one class of students included in this project, you will complete Part B separately for each classroom. <br><br>If you teach a single subject, please complete the questions that relate to other subjects to the best of your knowledge or consult with a colleague for those details only. <br><br>When you are ready to begin, select the “Next” button. <br><br><b><font face=Verdana size=4>Thank you!","<b><font face=Verdana size=4>Dit is deel B van de enquête.</b><br> <br> <p><font face=Verdana size=4>In deel B zijn de vragen specifiek voor de klasomgeving. Als je meer dan één klas met studenten in dit project doceert, voltooi dan deel B afzonderlijk voor elk lokaal.<br><br>Als je een enkel vak doceert, voltooi dan de vragen die betrekking hebben op andere vakken naar beste weten of raadpleeg een collega voor die details.<br><br>Wanneer je klaar bent om te beginnen, selecteer de knop “Volgende”.<br><br><b><font face=Verdana size=4>Dank u!","<b><font face=Verdana size=4>This is Part B of the survey.</b><br> <br> <p><font face=Verdana size=4>In Part B the questions are classroom specific. If you teach more than one class of students included in this project, you will complete Part B separately for each classroom. <br><br>If you teach a single subject, please complete the questions that relate to other subjects to the best of your knowledge or consult with a colleague for those details only. <br><br>When you are ready to begin, select the “Next” button. <br><br><b><font face=Verdana size=4>Thank you!"
TeacherNumberClasses,teacher_survey_classroom,"Wie viele Klassen unterrichten Sie, in denen Schüler an diesem Forschungsprojekt teilnehmen?","Wie viele Klassen unterrichten Sie, in denen Schüler an diesem Forschungsprojekt teilnehmen?",How many classrooms you dey teach wey dey contain students involved in this research project?,How many classrooms do you teach that contain students participating in this research project?,¿En cuántos de los salones donde usted enseña hay estudiantes que participen en este proyecto?,¿En cuántos de los salones donde usted enseña hay estudiantes que participen en este proyecto?,¿En cuántos de los salones donde usted enseña hay estudiantes que participen en este proyecto?,Combien de classes enseignez-vous qui contiennent des élèves participant à ce projet de recherche ?,Hoeveel klaslokalen geeft u les waarin studenten deelnemen aan dit onderzoeksproject?,How many classrooms do you teach that contain students participating in this research project?
TeacherOtherAdult,teacher_survey_classroom,"Gibt es einen anderen Erwachsenen, der bezahlt wird, um Ihnen in dieser Klasse zu helfen (z.B. Lehrassistent, Co-Lehrkraft, etc.)?","Gibt es einen anderen Erwachsenen, der bezahlt wird, um Ihnen in dieser Klasse zu helfen (z.B. Lehrassistent, Co-Lehrkraft, etc.)?",,,"¿Hay algún otro adulto que reciba remuneración por ayudarle en este salón (por ejemplo, un profesor asistente, profesor que trabaja con usted en docencia compartida, entre otros)?","¿Hay algún otro adulto que reciba remuneración por ayudarle en este salón (por ejemplo, un profesor asistente, profesor que trabaja con usted en docencia compartida, entre otros)?","¿Hay algún otro adulto que reciba remuneración por ayudarle en este salón (por ejemplo, un profesor asistente, profesor que trabaja con usted en docencia compartida, entre otros)?","Y a-t-il un autre adulte payé pour vous aider dans cette salle de classe (par exemple, un assistant enseignant, un enseignant co-directeur, etc.) ?","Is er een andere volwassene die betaald wordt om u in dit klaslokaal te helpen (bijvoorbeeld een onderwijsassistent, co-leerkracht, enz.)?","Is there another adult who is paid to help you in this classroom (e.g., teaching assistant, co-lead teacher, etc.)?"
TeacherOtherAdult,teacher_survey_classroom,Ja,Ja,,,Sí,Sí,Sí,Oui,Ja,Yes
TeacherOtherAdult,teacher_survey_classroom,Nein,Nein,No,No,,No,No,Non,Nee,No
TeacherStudentsEnroll,teacher_survey_classroom,Wie viele Schüler sind in dieser Klasse eingeschrieben?,Wie viele Schüler sind in dieser Klasse eingeschrieben?,,,¿Cuántos estudiantes hay matriculados en este salón?,¿Cuántos estudiantes hay matriculados en este salón?,¿Cuántos estudiantes hay matriculados en este salón?,Combien d'élèves sont inscrits dans cette salle de classe ?,Hoeveel studenten zijn er ingeschreven in dit klaslokaal?,How many students are enrolled in this classroom?
TeacherStudentsEnroll,teacher_survey_classroom,Anzahl der Schüler,Anzahl der Schüler,number of students,number of students,número de estudiantes,número de estudiantes,número de estudiantes,nombre d'élèves,aantal studenten,number of students
TeacherStudentsGender,teacher_survey_classroom,Wie viele Kinder jedes Geschlechts sind in dieser Klasse?,Wie viele Kinder jedes Geschlechts gibt es in dieser Klasse?,How many children of each gender dey inside this class?,How many children of each gender are in this class?,¿Cuántos niños de cada género hay en esta clase?,¿Cuántos niños de cada género hay en esta clase?,¿Cuántos niños de cada género hay en esta clase?,Combien d'enfants de chaque sexe y a-t-il dans cette classe ?,Hoeveel kinderen van elk geslacht zijn er in deze klas?,How many children of each gender are in this class?
TeacherStudentsGenderGirls,teacher_survey_classroom,Anzahl,Anzahl,,,número de,número de,número de,nombre,aantal,number
TeacherStudentsGenderGirls,teacher_survey_classroom,Mädchen,Mädchen,Girls,Girls,Niñas,Niñas,Niñas,Filles,Meisjes,Girls
