"identifier","labels","text","en","es-CO","de","fr-CA","nl","de-CH","es-AR","en-GH"
"TeacherSurveyIntro","teacher_survey_general","<b><font face=Verdana size=4>Thank you for taking the time (~10 minutes) to respond to this survey!</b><br> <br> <p><font face=Verdana size=4>Some students who you teach are participating in a research project studying how children learn and develop. Your responses in this survey should apply to your classroom","school","and professional beliefs rather than to any one specific child. <br><br><b><font face=Verdana size=4>This survey has two parts: Part A and Part B.</b><br> <br> <p><font face=Verdana size=4>In Part A","the questions relate to your background and beliefs. <br><br>In Part B the questions are classroom specific. If you teach more than one class of students included in this project","you will complete Part B separately for each classroom. <br><br>If you teach a single subject","please complete the questions that relate to other subjects to the best of your knowledge or consult with a colleague for those details only. <br><br>Thank you for your participation! Your responses provide invaluable insight into the education of your students. <br><br>When you are ready to begin","select the “Start Survey” button. <br><br><b><font face=Verdana size=4>Thank you!","<b><font face=Verdana size=4>Thank you for taking the time (~10 minutes) to respond to this survey!</b><br> <br> <p><font face=Verdana size=4>Some students who you teach are participating in a research project studying how children learn and develop. Your responses in this survey should apply to your classroom","school"
"TeacherIntroPartA","teacher_survey_general","<b><font face=Verdana size=3>PART A: </b><font face=Verdana size=3>The following questions ask about your background","the school where you teach","your feelings about your job","and your beliefs about teaching and children.","<b><font face=Verdana size=3>PART A: </b><font face=Verdana size=3>The following questions ask about your background","the school where you teach","your feelings about your job","and your beliefs about teaching and children.","<b><font face=Verdana size=3>PARTE A: </b><font face=Verdana size=3>Las siguientes preguntas indagan sobre tus antecedentes"
"TeacherBackground","teacher_survey_general","<b>This set of questions asks about your background.</b>","<b>This set of questions asks about your background.</b>","<b>Este grupo de preguntas indaga por sus antecedentes.</b>","<b>Dieses Set an Fragen beschäftigt sich mit Ihrem Hintergrund.</b>","<b>Cet ensemble de questions porte sur vos antécédents.</b>","<b>Deze set vragen richt zich op uw achtergrond.</b>","<b>Dieses Set an Fragen beschäftigt sich mit Ihrem Hintergrund.</b>","<b>Este grupo de preguntas indaga por sus antecedentes.</b>","<b>This set of questions asks about your background.</b>"
"TeacherAge","teacher_survey_general","What is your current age?","What is your current age?","¿Cuál es su edad?","Wie alt sind Sie aktuell?","Quel est votre âge actuel ?","Wat is uw huidige leeftijd?","Wie alt sind Sie derzeit?","¿Cuál es su edad?","How old are you currently?"
"TeacherAge","teacher_survey_general","years of age","years of age","años","Lebensjahre","ans","leeftijdsjaren","Lebensjahre","años","years of age"
"TeacherGender","teacher_survey_general","What is your gender?","What is your gender?","¿Cuál es su género?","Welches Geschlecht haben Sie?","Quel est votre sexe ?","Wat is uw geslacht?","Welches Geschlecht haben Sie?","¿Cuál es su género?","What is your gender?"
"TeacherGender","teacher_survey_general","","","","","","","","",""
"TeacherGender","teacher_survey_general","","","","","","","","",""
"TeacherGender","teacher_survey_general","","","","","","","","",""
"TeacherGender","teacher_survey_general","Other (please describe)","Other (please describe)","Otro","describa","Andere (bitte beschreiben)","Autre (veuillez décrire)","Anders (beschrijf alstublieft)","Andere (bitte beschreiben)","Other (please describe)"
"TeacherEducation","teacher_survey_general","What is the highest level of education you have completed?","What is the highest level of education you have completed?","¿Cuál es el nivel más alto de estudios que ha completado?","Welchen höchstmöglichen Bildungsabschluss haben Sie abgeschlossen?","Quel est le plus haut niveau de formation que vous avez terminé ?","Wat is het hoogste opleidingsniveau dat u hebt voltooid?","Welchen höchstmöglichen Bildungsabschluss haben Sie abgeschlossen?","¿Cuál es el nivel más alto de estudios que ha completado?","What is the highest education level you've received?"
"TeacherEducation","teacher_survey_general","Less than high school","Less than high school","Primaria o bachillerato incompleto","Hauptschulabschluss","Moins que le secondaire","Minder dan middelbare school","Hauptschulabschluss","Primaria o bachillerato incompleto","Less than high school"
"TeacherEducation","teacher_survey_general","GED or High school equivalency","GED or High school equivalency","Grado de bachiller o validación del bachillerato académico","Abitur oder gleichwertig","Équivalence du secondaire ou diplôme de lycée","VWO of middelbaar schooldiploma (equivalent)","Abitur oder gleichwertig","Grado de bachiller o validación del bachillerato académico","GED or equivalent to high school"
"TeacherEducation","teacher_survey_general","Some college but no degree","Some college but no degree","Inició estudios universitarios","pero no se ha graduado","Ausbildung","Certaines études collégiales mais sans diplôme","Een beetje hogere school maar zonder diploma","Ausbildung","Inició estudios universitarios"
"TeacherEducation","teacher_survey_general","High school diploma or equivalent","plus technical training or certificate","High school diploma or equivalent","plus technical training or certificate","Grado de bachillerato técnico","Abitur oder gleichwertig","plus Fachausbildung oder Zertifikat","Diplôme de lycée ou équivalent","plus formation technique ou certificat"
"TeacherEducation","teacher_survey_general","Associate's degree","Associate's degree","Grado de programa técnico o tecnólogo","allgemeine oder fachgebundene Hochschulreife","Diplôme d’associé","Associatiediploma","allgemeine oder fachgebundene Hochschulreife","Grado de programa técnico o tecnólogo","Associate's degree"
"TeacherEducation","teacher_survey_general","Bachelor's degree","Bachelor's degree","Grado de programa de pregrado","Bachelorabschluss","Baccalauréat","Bachelordiploma","Bachelorabschluss","Grado de programa de pregrado","Bachelor's degree"
"TeacherEducation","teacher_survey_general","Master's degree","Master's degree","Grado de programa de maestría","Masterabschluss","Maîtrise","Masterdiploma","Masterabschluss","Grado de programa de maestría","Master's degree"
"TeacherEducation","teacher_survey_general","Doctoral degree","Doctoral degree","Grado de programa de doctorado","Doktorgrad","Doctorat","Doctorale graad","Doktorgrad","Grado de programa de doctorado","Doctoral degree"
